
Time
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,46,45,45,45,48,71,155,369,2550
tmpfs,43,43,44,44,49,70,152,365,2340
pmfs,43,43,43,44,45,69,149,318,2241

MajorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

MinorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,15,15,15,15,15,15,15,15,15
tmpfs,15,15,15,15,15,15,15,15,15
pmfs,15,15,15,15,15,15,15,15,15

cache-references
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,25433,28952,30159,21852,34896,59898,54899,979571,8713125
tmpfs,22780,28016,20410,30011,29611,15859,19479,19759,597695
pmfs,18928,29743,16895,19012,26295,14598,18127,449500,235143

cache-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,2487,2811,3610,6974,20391,70975,83045,655784,8392657
tmpfs,2682,2691,2467,2886,3932,6364,8320,8509,375475
pmfs,2671,2754,2216,2482,3111,2450,3298,27830,153797

L1-dcache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,222471,228721,237377,263704,363574,737423,806519,11184177,62867547
tmpfs,246311,238468,240367,262677,316438,582911,921574,910319,29880265
pmfs,247100,237435,241375,260499,312395,505078,728838,731887,37012020

L1-dcache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,19618,20660,21913,25703,41405,100707,184188,1061846,9148929
tmpfs,21787,21089,20981,22169,22844,31346,26993,26669,379417
pmfs,22108,21087,20854,22140,21738,25131,16839,19845,553462

L1-dcache-stores
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,141117,203761,487803,861987,6344034,43581886
tmpfs,94600,0,109077,0,51946,347507,813761,903991,19767039
pmfs,132317,0,140467,151386,223464,334553,766165,764136,23205708

L1-dcache-store-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,7691,266147,1005532,8554317
tmpfs,0,0,0,0,0,4068,7180,7413,134509
pmfs,0,0,280,0,0,3982,5179,6048,137002

L1-dcache-prefetches
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,4921,15340,1295534
tmpfs,0,0,0,0,0,0,18439,7487,399533
pmfs,0,0,0,0,0,0,6996,1058,246601

L1-dcache-prefetch-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,4001,3763,537542
tmpfs,0,0,0,0,0,0,2089,2809,351307
pmfs,0,0,0,0,0,0,10997,210,98949

L1-icache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,3381807,2970641,82989718
tmpfs,0,0,0,0,0,0,2577659,3573462,43689478
pmfs,0,0,0,0,0,0,3121449,3362954,74148919

L1-icache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,153944,10704,409601
tmpfs,0,0,0,0,0,0,83055,6122,238844
pmfs,0,0,0,0,0,0,308059,12482,262793

LLC-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,155860,12115,1408716
tmpfs,0,0,0,0,0,0,0,16971,1025209
pmfs,0,0,0,0,0,0,62021,980,10547

LLC-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,62834,11859,742745
tmpfs,0,0,0,0,0,0,0,18280,900764
pmfs,0,0,0,0,0,0,0,456,4335

LLC-stores
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,1420430,16935028
tmpfs,0,0,0,0,0,0,0,45156,761420
pmfs,0,0,0,0,0,0,0,21744,245599

LLC-store-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,763874,7393109
tmpfs,0,0,0,0,0,0,0,16579,120527
pmfs,0,0,0,0,0,0,0,11729,129573

LLC-prefetches
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,39,39968
tmpfs,0,0,0,0,0,0,0,8,35632
pmfs,0,0,0,0,0,0,0,1019,10654

LLC-prefetch-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,0,22587
tmpfs,0,0,0,0,0,0,0,0,15850
pmfs,0,0,0,0,0,0,0,947,10829

dTLB-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,5400635,58729189
tmpfs,0,0,0,0,0,0,0,4020805,46369815
pmfs,0,0,0,0,0,0,0,4397541,35729798

dTLB-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,11742,114014
tmpfs,0,0,0,0,0,0,0,128087,383372
pmfs,0,0,0,0,0,0,0,855,571373

dTLB-stores
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,4133760,41137132
tmpfs,0,0,0,0,0,0,0,3410907,29737027
pmfs,0,0,0,0,0,0,0,3775817,24212937

dTLB-store-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,39085,212553
tmpfs,0,0,0,0,0,0,0,2173,112718
pmfs,0,0,0,0,0,0,0,21623,124882

iTLB-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,24181140,237110880
tmpfs,0,0,0,0,0,0,0,32863755,174464384
pmfs,0,0,0,0,0,0,0,25859199,143991384

iTLB-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,28,205
tmpfs,0,0,0,0,0,0,0,94,49
pmfs,0,0,0,0,0,0,0,2400,55

instructions
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,24822721,242676684
tmpfs,0,0,0,0,0,0,0,36488245,171517599
pmfs,0,0,0,0,0,0,0,28849117,146487254

stalled-cycles-frontend
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,41498731,281093506
tmpfs,0,0,0,0,0,0,0,28908408,142108785
pmfs,0,0,0,0,0,0,0,33523715,187293107

stalled-cycles-backend
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,30889774,209270279
tmpfs,0,0,0,0,0,0,0,0,106463828
pmfs,0,0,0,0,0,0,0,27481141,154808948

alignment-faults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

context-switches
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,15,16,16,16,16,16,17,20,34
tmpfs,18,19,17,18,18,18,19,20,28
pmfs,18,19,17,18,19,17,20,20,31

L1-dcache-load Hit Ratio
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0.911817720062,0.909671608641,0.907686928388,0.902530867943,0.886116719017,0.863433877164,0.771625962935,0.905058190692,0.854472944523
tmpfs,0.91154678435,0.911564654377,0.912712643583,0.915603573971,0.927808923075,0.946225066948,0.970709894159,0.970703676404,0.98730208718
pmfs,0.910530149737,0.911188325226,0.913603314345,0.915009270669,0.930415019447,0.950243328753,0.976896100368,0.972885158501,0.985046425459

L1-dcache-store Hit Ratio
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,NA,NA,NA,1.0,1.0,0.984233389299,0.691240123111,0.841499588432,0.803718521957
tmpfs,1.0,NA,1.0,NA,1.0,0.988293760989,0.991176770575,0.991799697121,0.993195288379
pmfs,1.0,NA,0.998006649249,1.0,1.0,0.988097551061,0.993240359453,0.992085178555,0.994096193919

L1-icache-load Hit Ratio
Pages,1,2,16,64,256,1024,4192,16768,128000
