
Time
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,21,21,21,23,29,60,211,961,7123
tmpfs,20,20,21,24,36,83,267,1015,6900
pmfs,20,20,21,24,34,76,243,947,6710

MajorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

MinorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,13,13,13,13,13,13,13,13,13
tmpfs,13,13,13,13,13,13,13,13,13
pmfs,13,13,13,13,13,13,13,13,13

cache-references
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,25234,18730,19415,29238,31081,69788,68591,783037,8810913
tmpfs,27868,31028,27326,26060,33001,18603,16310,16393,685947
pmfs,30523,28069,27197,29968,24389,16436,14877,14884,684555

cache-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,2781,3138,3973,6384,19837,72741,108734,615692,8442329
tmpfs,2372,2538,2061,2778,3299,7176,7824,7889,407325
pmfs,2409,2493,2566,2672,3025,4656,2686,2933,547936

L1-dcache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,498260,508096,514469,525014,634893,1029342,1034271,11084503,66139797
tmpfs,502766,508181,505319,526777,591368,863627,1043153,1041426,40647225
pmfs,501413,515033,503268,523486,585007,837414,857870,869306,46814353

L1-dcache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,20882,22055,22730,24939,41275,100818,238569,1269221,8937761
tmpfs,21153,21846,21245,22075,23689,30638,34182,29315,433387
pmfs,21176,22000,20921,21763,21611,23993,19748,17152,566650

L1-dcache-stores
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,247695,126116,136407,243211,226208,791980,1120322,5720272,44851203
tmpfs,254749,0,228031,224347,0,364851,1089761,1195210,21976816
pmfs,0,143260,0,227604,233752,660130,1100510,1024022,29618441

L1-dcache-store-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,5305,0,278008,1391418,7562561
tmpfs,0,0,0,0,0,4255,7095,9906,129000
pmfs,0,0,0,0,0,0,6877,7104,157420

L1-dcache-prefetches
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,31254,5184,1290838
tmpfs,0,0,0,0,0,0,16970,10672,329935
pmfs,0,0,0,0,0,0,8552,1048,26015

L1-dcache-prefetch-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,32714,4873,596163
tmpfs,0,0,0,0,0,0,0,13829,275194
pmfs,0,0,0,0,0,0,0,525,2309

L1-icache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,4247220,3757781,90176083
tmpfs,0,0,0,0,0,0,3006492,5243433,49202546
pmfs,0,0,0,0,0,0,2918295,5104535,63906665

L1-icache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,122968,9074,289166
tmpfs,0,0,0,0,0,0,0,8057,38899
pmfs,0,0,0,0,0,0,0,58026,107221

LLC-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,109726,12522,773910
tmpfs,0,0,0,0,0,0,0,25830,599372
pmfs,0,0,0,0,0,0,0,2710,8123

LLC-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,10924,449011
tmpfs,0,0,0,0,0,0,0,26359,564424
pmfs,0,0,0,0,0,0,0,417,4300

LLC-stores
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,1430328,17724204
tmpfs,0,0,0,0,0,0,0,40934,795897
pmfs,0,0,0,0,0,0,0,30085,272899

LLC-store-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,767104,7729996
tmpfs,0,0,0,0,0,0,0,3192,125136
pmfs,0,0,0,0,0,0,0,16275,138349

LLC-prefetches
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,0,15,42970
tmpfs,0,0,0,0,0,0,0,23854,36378
pmfs,0,0,0,0,0,0,0,1360,11539

LLC-prefetch-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
