
Time
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,119,136,364,1048,3773,14678,47648,167483,1233588
ext4,30971,28200,28548,3122,8935,56061,214590,779842,5650050
tmpfs,240,260,444,1082,3645,13887,43441,152385,1128501
pmfs,222,266,459,1157,3835,14532,45636,161820,1194442

MajorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,1,1,1,1,1,1,1,1,1
ext4,2,2,2,2,2,2,2,2,2
tmpfs,1,1,1,1,1,1,1,1,1
pmfs,1,1,1,1,1,1,1,1,1

MinorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,24,25,39,87,279,1047,4215,16791,128023
ext4,22,23,37,85,277,1045,4213,16789,128021
tmpfs,23,24,38,86,278,1046,4214,16790,128022
pmfs,24,26,54,150,534,2070,8406,33558,256022

cache-references
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,21596,19397,18979,23865,21893,24226,298109,1071576,8850378
ext4,26789,27439,26438,20325,23998,23783,321519,821294,10258332
tmpfs,17286,21708,21000,13532,16759,16611,89701,171541,1052653
pmfs,18472,21403,16652,25197,16262,16409,90682,177675,898500

cache-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,2071,2241,4636,6636,14718,20761,258337,991741,8529615
ext4,2767,2563,3018,3513,2920,2831,17446,33728,273728
tmpfs,2238,2408,2270,2732,2759,2763,25619,111350,499360
pmfs,2348,2700,2483,2857,2632,2692,19530,65473,487333

L1-dcache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,202025,211776,341648,748642,2411987,3953805,33823865,126831351,1106495819
ext4,272416,272516,398519,867261,2309170,2872078,35564166,108329669,1219726635
tmpfs,209248,211449,333168,747362,2379238,2797490,29475151,128228034,1094356130
pmfs,209925,207930,336195,748079,2368047,2586279,30976211,129890823,1078484426

L1-dcache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,16827,16836,19191,21396,36552,55006,329800,1100891,9505115
ext4,19450,18667,20285,24869,44024,50577,417877,1110261,11805362
tmpfs,17568,16868,18232,22583,35855,42161,337066,1332068,8610920
pmfs,18048,16840,18713,22584,34326,39533,293360,1069615,8430771

L1-dcache-stores
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,103874,0,1346608,3586087,17912539,66082645,566511915
ext4,0,0,0,464152,1611712,2643078,20882923,61949874,617246622
tmpfs,85952,0,0,396320,1348698,2785229,13818398,63997134,541042264
pmfs,117444,0,99745,0,1345061,2418735,16459940,67451189,546755767

L1-dcache-store-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,16633,64298,258668,1011050,8451444
ext4,0,0,0,0,23411,43007,260906,987577,8722166
tmpfs,0,0,0,0,16193,55481,178502,965095,8151599
pmfs,0,0,0,0,17036,43746,234629,1015783,8112605

L1-dcache-prefetches
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,10622,56082,18590,1426149
ext4,0,0,0,0,0,5700,78397,116773,1548145
tmpfs,0,0,0,0,0,1517,4740,28723,419622
pmfs,0,0,0,0,0,237,7225,4062,156935

L1-dcache-prefetch-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,10160,27891,16091,517830
ext4,0,0,0,0,0,2362,12204,47348,492735
tmpfs,0,0,0,0,0,6411,3079,17707,229737
pmfs,0,0,0,0,0,158,8971,10230,104774

L1-icache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,1655953,5583885,8843943,92599822
ext4,0,0,0,0,0,1868692,9555011,29312460,232620677
tmpfs,0,0,0,0,0,1184868,632443,6236765,55821049
pmfs,0,0,0,0,0,737571,2238197,11869566,81751931

L1-icache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,113197,22708,93949,680894
ext4,0,0,0,0,0,136371,466310,2046113,15323611
tmpfs,0,0,0,0,0,62233,7882,43888,460947
pmfs,0,0,0,0,0,56003,27189,194771,439123

LLC-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,0,0,0,0,0,0,2588,23673,717728
ext4,0,0,0,0,0,34062,21933,335802,2589008
tmpfs,0,0,0,0,0,49459,4463,30600,297330
pmfs,0,0,0,0,0,12404,2118,37874,133472

LLC-load-misses
