
Time
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,1224,1253,1716,3964,11213,35611,137104,624130,5583345
tmpfs,230,264,705,2149,8053,26715,92474,354190,2572772
pmfs,323,319,781,2282,8222,26658,94670,354598,2639605

MajorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,2,2,2,2,2,2,2,2,2
tmpfs,1,1,1,1,1,1,1,1,1
pmfs,1,1,1,1,1,1,1,1,1

MinorPageFaultsnPages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,22,23,37,85,277,1045,4213,16789,128021
tmpfs,23,24,38,86,278,1046,4214,16790,128022
pmfs,24,25,39,87,279,1048,4223,16823,128272

cache-references
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,10615,10801,10577,10430,11763,10276,9941,10169,10881
tmpfs,10207,9891,10393,10149,10315,12132,11728,12120,10056
pmfs,12243,10484,10375,10261,10006,10001,10071,9669,11742

cache-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,1147,1106,1125,1105,1193,979,1062,1052,1154
tmpfs,1014,1141,1162,1011,994,1447,1463,1308,1095
pmfs,1398,1095,1230,1050,1007,1170,1124,1001,1401

L1-dcache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,121202,121572,121439,120542,122901,120561,120046,119560,119995
tmpfs,119602,119664,121526,120388,120753,122582,123661,123997,120676
pmfs,123606,121255,121430,120512,120900,120606,119179,120525,121642

L1-dcache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,11047,11094,11116,10954,11332,10903,10646,10709,10877
tmpfs,10693,10849,11071,10745,10901,11445,11342,11541,10977
pmfs,11460,11098,11087,10856,10806,10952,10561,10861,11097

L1-dcache-stores
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-dcache-store-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-dcache-prefetches
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-dcache-prefetch-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-icache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-icache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

LLC-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
