
Time
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,18,36,289,1247,4756,18914,96743,387901,2961244
tmpfs,23,46,367,1480,5970,23716,96996,387841,2960294
pmfs,23,46,367,1477,5973,23646,97001,387848,2959596

MajorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

MinorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,21,21,21,21,21,21,21,21,21
tmpfs,21,21,21,21,21,21,21,21,21
pmfs,21,21,21,21,21,21,21,21,21

cache-references
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,26255,26843,27148,25265,36826,83047,886714,3761552,30429117
tmpfs,20154,21653,22917,19732,20005,21420,274292,1434185,9298965
pmfs,21364,22136,22654,19693,19536,15475,372040,1243213,8794571

cache-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,2249,2489,2378,6775,7150,9378,193708,809392,6456102
tmpfs,2070,2219,3086,6242,7474,8435,205055,1193316,8646141
pmfs,2158,2309,3156,6233,6711,6429,191047,1114622,8348699

L1-dcache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,279989,303883,661902,1922370,4474059,6739998,66188715,289552315,2272371342
tmpfs,214189,243238,589182,1784078,3857687,3799072,66306483,401915593,3197829475
pmfs,219987,242060,603260,1786558,3663882,3372197,65055507,413919933,3176300307

L1-dcache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,16939,16638,17866,27355,41428,57360,506499,2034636,16612056
tmpfs,14709,16588,16104,19395,27718,30397,288568,1317606,9302980
pmfs,15264,16735,16572,19747,27001,27535,225421,1201802,8822139

L1-dcache-stores
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,1037168,3032351,5413244,34601983,160459318,1248954445
tmpfs,0,0,0,772342,2501077,2888623,25799938,138352106,1079372179
pmfs,0,0,248302,846627,2566562,2839307,23145157,138895096,1070532866

L1-dcache-store-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,2257,842,174,1177,5507,88819
tmpfs,0,0,0,0,749,135,12424,41364,199331
pmfs,0,0,0,0,636,70,16488,31111,183137

L1-dcache-prefetches
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-dcache-prefetch-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-icache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,34071,130789,585976,19150957
tmpfs,0,0,0,0,0,18640,113056,13328949,67339760
pmfs,0,0,0,0,0,25451,213505,13133283,73408951

L1-icache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,5875,11319,42941,327490
tmpfs,0,0,0,0,0,1966,8721,45029,349548
pmfs,0,0,0,0,0,3468,33240,59888,432221

