
Time
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,2,3,2,0,3,24,124,483,3415
tmpfs,0,0,0,0,9,49,208,609,3376
pmfs,0,0,0,0,2,17,73,331,2544

MajorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,2,2,2,2,2,2,2,2,2
tmpfs,1,1,1,1,1,1,1,1,1
pmfs,1,1,1,1,1,1,1,1,1

MinorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,22,23,37,85,277,1045,4213,16789,128021
tmpfs,23,24,38,86,278,1046,4214,16790,128022
pmfs,24,26,54,150,534,2070,8406,33558,256022

cache-references
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,27146,28162,29269,35572,58970,9377428,39444029,161013345,1267074099
tmpfs,24698,24493,18740,58636,1829513,9674966,42073850,168202421,1323906991
pmfs,24666,24547,19984,19089,76962,8917968,40685185,168339999,1316874751

cache-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,2969,2407,2668,2582,22318,3133281,24614551,155760242,1200726556
tmpfs,2193,2276,2414,2167,1514503,9366844,40236019,164876066,1277351062
pmfs,2420,2295,2551,2079,2205,15009,35210084,167788035,1281616338

L1-dcache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,262611,283112,577312,912217,1111831,25489582,104995732,426450308,3288895799
tmpfs,243390,261556,547276,902534,5159173,22377347,89006392,344251023,2624392158
pmfs,242060,263221,552771,997322,841926,19195148,83832665,341783899,2615907741

L1-dcache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,18671,18800,142106,528082,489311,7748399,39981571,175459606,1346107760
tmpfs,18126,17778,140992,503009,2160137,10005968,43350711,188840498,1447227122
pmfs,17923,17970,141407,576095,449628,8435793,40944506,187898737,1444332867

L1-dcache-stores
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,811465,834993,9144149,42657094,172309882,1327241984
tmpfs,0,0,297773,721546,2310769,10548031,45477602,174656526,1321505007
pmfs,0,0,301893,797150,695003,9541551,43012127,172886974,1315962121

L1-dcache-store-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,820714,982963,9119036,42200303,170341770,1301962899
tmpfs,0,0,0,707267,2310414,10193219,41205622,166917302,1279669195
pmfs,0,0,0,727312,812859,9291188,39530484,167286331,1279396410

L1-dcache-prefetches
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,3658,90,1317,11880,52802,1130124
tmpfs,0,0,0,4758,631,3349,26400,119677,771454
pmfs,0,0,0,0,83,1478,8209,83646,313461

L1-dcache-prefetch-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,30,397,6661,46285,793275
tmpfs,0,0,0,0,185,1024,16393,78867,818761
pmfs,0,0,0,0,21,565,5325,61497,219954

L1-icache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,3817507,227175,579695,1515918,5387468,45811570
tmpfs,0,0,0,2684789,469259,991185,2734459,21565609,96333797
pmfs,0,0,0,0,204076,598526,3890263,19865365,92827917

L1-icache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
