
Time
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,44,48,158,516,2051,8124,33205,133485,876041
tmpfs,12,23,133,509,2016,8052,32935,131762,1006666
pmfs,10,21,131,510,2019,8052,32957,131802,1006055

MajorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,2,2,2,2,2,2,2,2,2
tmpfs,1,1,1,1,1,1,1,1,1
pmfs,1,1,1,1,1,1,1,1,1

MinorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,22,23,37,85,277,1045,11733,202261,14725415
tmpfs,23,24,38,86,278,1046,4214,16790,128022
pmfs,24,26,54,150,534,2070,8406,33558,256022

cache-references
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,17654,17851,92665,300037,1502352,6128782,24953359,100094683,1239694360
tmpfs,16020,15563,76399,252279,1068000,3180789,11267057,60558845,645988111
pmfs,15468,16404,82691,302782,1197974,5792007,21041537,96968519,584647560

cache-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,1966,1916,9297,11162,172257,1496534,11696178,68889254,798235525
tmpfs,1810,1673,9245,9764,581438,2232707,7751968,43993085,466270895
pmfs,1826,2123,10620,10062,14024,17682,12555124,68118049,375651934

L1-dcache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,4802837,4803510,116935313,504292962,2086975747,8392015917,34371939151,137569837397,1059326832167
tmpfs,3023973,3245048,110033139,495906513,2085801929,8380469003,34332369728,137468191434,1049387777616
pmfs,3026887,3023635,110139765,494830719,2082463008,8367525222,34353931428,137445342679,1049493446508

L1-dcache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,14171,14278,1006209,4105776,16729106,66811022,274503200,1099354931,9052993399
tmpfs,13683,13585,929012,3992711,16666003,66834902,273798880,1096562676,8369871600
pmfs,13491,14023,934706,4000643,16579511,66799238,273987314,1096162700,8349535098

L1-dcache-stores
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,4257798,4413996,62683528,256158069,1047673521,4183849067,17182233152,68777490983,531253309078
tmpfs,2785746,2697873,57174325,250410670,1045398207,4188674320,17174221274,68734472896,524844055316
pmfs,2744152,2788792,57158838,249726766,1043949062,4184179062,17195626424,68739579325,524869717760

L1-dcache-store-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,956,386,991541,4018415,16395589,65464803,268842378,1075627116,8450109001
tmpfs,152,289,922628,3944781,16376332,65515147,268586853,1074866121,8207379386
pmfs,147,234,905153,3920227,16332022,65423934,268693297,1074919726,8203289466

L1-dcache-prefetches
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,4237,94,1595,5736,25862,118568,529359,2090003,136523008
tmpfs,96,77,1381,5634,24877,89233,350099,1620253,13256201
pmfs,54,89,1557,6043,18141,92813,401964,1510835,11087479

L1-dcache-prefetch-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,7,1055,4846,27136,83499,528679,1626432,122113243
tmpfs,44,27,876,3615,26155,68041,301225,1303516,11802432
pmfs,17,32,1070,4922,13140,70841,306553,1250149,8712827

L1-icache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
